00/0        SLDT Rv/Mw
5D         (v)minss Vss,Hss,Wss (F3),(v1) (REP)
5D         (v)minsd Vsd,Hsd,Wsd (F2),(v1) (REPNE)
5E         (v)divps Vps,Hps,Wps
5E         (v)divpd Vpd,Hpd,Wpd (66) (opdsize)
5E         (v)divss Vss,Hss,Wss (F3),(v1) (REP)
5E         (v)divsd Vsd,Hsd,Wsd (F2),(v1) (REPNE)
5F         (v)maxps Vps,Hps,Wps
5F         (v)maxpd Vpd,Hpd,Wpd (66) (opdsize)
5F         (v)maxss Vss,Hss,Wss (F3),(v1) (REP)
5F         (v)maxsd Vsd,Hsd,Wsd (F2),(v1) (REPNE)
60          punpcklbw Pq,Qd
60         (v)punpcklbw Vx,Hx,Wx (66),(v1) (opdsize)
61          punpcklwd Pq,Qd
61         (v)punpcklwd Vx,Hx,Wx (66),(v1) (opdsize)
62          punpckldq Pq,Qd
62         (v)punpckldq Vx,Hx,Wx (66),(v1) (opdsize)
63          packsswb Pq,Qq
63         (v)packsswb Vx,Hx,Wx (66),(v1) (opdsize)
64          pcmpgtb Pq,Qq
64         (v)pcmpgtb Vx,Hx,Wx (66),(v1) (opdsize)
65          pcmpgtw Pq,Qq
65         (v)pcmpgtw Vx,Hx,Wx (66),(v1) (opdsize)
66          pcmpgtd Pq,Qq
66         (v)pcmpgtd Vx,Hx,Wx (66),(v1) (opdsize)
67          packuswb Pq,Qq
67         (v)packuswb Vx,Hx,Wx (66),(v1) (opdsize)
68          punpckhbw Pq,Qd
68         (v)punpckhbw Vx,Hx,Wx (66),(v1) (opdsize)
69          punpckhwd Pq,Qd
69         (v)punpckhwd Vx,Hx,Wx (66),(v1) (opdsize)
6A          punpckhdq Pq,Qd
6A         (v)punpckhdq Vx,Hx,Wx (66),(v1) (opdsize)
6B          packssdw Pq,Qd
6B         (v)packssdw Vx,Hx,Wx (66),(v1) (opdsize)
6C         (v)punpcklqdq Vx,Hx,Wx (66),(v1) (opdsize)
6D         (v)punpckhqdq Vx,Hx,Wx (66),(v1) (opdsize)
6E          movd/q Pd,Ey
6E         (v)movd/q Vy,Ey (66),(v1) (opdsize)
6F          movq Pq,Qq
6F         (v)movdqa Vx,Wx (66) (opdsize)
6F         (v)movdqu Vx,Wx (F3) (REP)
70          pshufw Pq,Qq,Ib
70         (v)pshufd Vx,Wx,Ib (66),(v1) (opdsize)
70         (v)pshufhw Vx,Wx,Ib (F3),(v1) (REP)
70         (v)pshuflw Vx,Wx,Ib (F2),(v1) (REPNE)
71/2        psrlw Nq,Ib (11B)
71/2       (v)psrlw Hx,Ux,Ib (66),(11B),(v1) (opdsize)
71/4        psraw Nq,Ib (11B)
71/4       (v)psraw Hx,Ux,Ib (66),(11B),(v1) (opdsize)
71/6        psllw Nq,Ib (11B)
71/6       (v)psllw Hx,Ux,Ib (66),(11B),(v1) (opdsize)
72/2        psrld Nq,Ib (11B)
72/2       (v)psrld Hx,Ux,Ib (66),(11B),(v1) (opdsize)
72/4        psrad Nq,Ib (11B)
72/4       (v)psrad Hx,Ux,Ib (66),(11B),(v1) (opdsize)
72/6        pslld Nq,Ib (11B)
72/6       (v)pslld Hx,Ux,Ib (66),(11B),(v1) (opdsize)
73/2        psrlq Nq,Ib (11B)
73/2       (v)psrlq Hx,Ux,Ib (66),(11B),(v1) (opdsize)
73/3       (v)psrldq Hx,Ux,Ib (66),(11B),(v1) (opdsize)
73/6        psllq Nq,Ib (11B)
73/6       (v)psllq Hx,Ux,Ib (66),(11B),(v1) (opdsize)
73/7       (v)pslldq Hx,Ux,Ib (66),(11B),(v1) (opdsize)
74          pcmpeqb Pq,Qq
74         (v)pcmpeqb Vx,Hx,Wx (66),(v1) (opdsize)
75          pcmpeqw Pq,Qq
75         (v)pcmpeqw Vx,Hx,Wx (66),(v1) (opdsize)
76          pcmpeqd Pq,Qq
76         (v)pcmpeqd Vx,Hx,Wx (66),(v1) (opdsize)
77          emms
7C         (v)haddpd Vpd,Hpd,Wpd (66) (opdsize)
7C         (v)haddps Vps,Hps,Wps (F2) (REPNE)
7D         (v)hsubpd Vpd,Hpd,Wpd (66) (opdsize)
7D         (v)hsubps Vps,Hps,Wps (F2) (REPNE)
7E          movd/q Ey,Pd
7E         (v)movd/q Ey,Vy (66),(v1) (opdsize)
7E         (v)movq Vq,Wq (F3),(v1) (REP)
7F          movq Qq,Pq
7F         (v)movdqa Wx,Vx (66) (opdsize)
7F         (v)movdqu Wx,Vx (F3) (REP)
80          JO Jz (f64)
81          JNO Jz (f64)
82          JB/JC/JNAE Jz (f64)
83          JAE/JNB/JNC Jz (f64)
84          JE/JZ Jz (f64)
85          JNE/JNZ Jz (f64)
86          JBE/JNA Jz (f64)
87          JA/JNBE Jz (f64)
88          JS Jz (f64)
89          JNS Jz (f64)
8A          JP/JPE Jz (f64)
