C0/7        SAR Eb,Ib
C1/0        ROL Ev,Ib
C1/1        ROR Ev,Ib
C1/2        RCL Ev,Ib
C1/3        RCR Ev,Ib
C1/4        SHL/SAL Ev,Ib
C1/5        SHR Ev,Ib
C1/7        SAR Ev,Ib
C2          RET Iw (f64)
C3          RET
C4          LES Gz,Mp (i64)
C5          LDS Gz,Mp (i64)
C6/0        MOV Eb,Ib
C7/0        MOV Ev,Iz
C8          ENTER Iw,Ib
C9          LEAVE (d64)
CA          RETF Iw
CB          RETF
CC          INT3
CD          INT Ib
CE          INTO (i64)
CF          IRET/D/Q
D0/0        ROL Eb,1
D0/1        ROR Eb,1
D0/2        RCL Eb,1
D0/3        RCR Eb,1
D0/4        SHL/SAL Eb,1
D0/5        SHR Eb,1
D0/7        SAR Eb,1
D1/0        ROL Ev,1
D1/1        ROR Ev,1
D1/2        RCL Ev,1
D1/3        RCR Ev,1
D1/4        SHL/SAL Ev,1
D1/5        SHR Ev,1
D1/7        SAR Ev,1
D2/0        ROL Eb,CL
D2/1        ROR Eb,CL
D2/2        RCL Eb,CL
D2/3        RCR Eb,CL
D2/4        SHL/SAL Eb,CL
D2/5        SHR Eb,CL
D2/7        SAR Eb,CL
D3/0        ROL Ev,CL
D3/1        ROR Ev,CL
D3/2        RCL Ev,CL
D3/3        RCR Ev,CL
D3/4        SHL/SAL Ev,CL
D3/5        SHR Ev,CL
D3/7        SAR Ev,CL
D4          AAM Ib (i64)
D5          AAD Ib (i64)
D7          XLAT/XLATB
D8/0        ESC
D9/0        ESC
DA/0        ESC
DB/0        ESC
DC/0        ESC
DD/0        ESC
DE/0        ESC
DF/0        ESC
E0          LOOPNE/LOOPNZ Jb (f64)
E1          LOOPE/LOOPZ Jb (f64)
E2          LOOP Jb (f64)
E3          JCXZ/JECXZ/JRCXZ Jb (f64)
E4          IN AL,Ib
E5          IN eAX,Ib
E6          OUT Ib,AL
E7          OUT Ib,eAX
E8          CALL Jz (f64)
E9          JMP Jz (f64)
EA          JMP Ap (i64)
EB          JMP short Jb (f64)
EC          IN AL,DX
ED          IN eAX,DX
EE          OUT DX,AL
EF          OUT DX,eAX
F1          INT1
F4          HLT
F5          CMC
F6/0        TEST Eb,Ib
F6/1        TEST Eb,Ib
F6/2        NOT Eb
F6/3        NEG Eb
F6/4        MUL AL,Eb
F6/5        IMUL AL,Eb
F6/6        DIV AL,Eb
F6/7        IDIV AL,Eb
F7/0        TEST Ev,Iz
F7/1        TEST Ev,Iz
F7/2        NOT Ev
F7/3        NEG Ev
F7/4        MUL rAX,Ev
F7/5        IMUL rAX,Ev
F7/6        DIV rAX,Ev
F7/7        IDIV rAX,Ev
F8          CLC
F9          STC
FA          CLI
FB          STI
FC          CLD
FD          STD
FE/0        INC Eb
FE/1        DEC Eb
FF/0        INC Ev
FF/1        DEC Ev
FF/2        CALL Ev
FF/3        CALL FAR Ep
FF/4        JMP Ev
FF/5        JMP FAR Mp
FF/6        PUSH Ev
